time,G(i),H_sun,T2m,WS10m,Int
20230125:0111,0,0,9.01,5.66,0
20230125:0211,0,0,9.13,5.66,0
20230125:0311,0,0,9.17,5.38,0
20230125:0411,0,0,9.17,5.52,0
20230125:0511,0,0,9.32,5.93,0
20230125:0611,0,0,9.42,6,0
20230125:0711,0,0,9.54,6.41,0
20230125:0811,0,0,9.64,6.55,0
20230125:0911,23.04,3.79,9.66,6.07,0
20230125:1011,142.07,10.09,9.34,6.21,0
20230125:1111,180.51,14.75,9.07,5.72,0
20230125:1211,408.57,17.4,9.05,5.59,0
20230125:1311,421.91,17.77,9.05,4.97,0
20230125:1411,266.47,15.84,9.13,5.31,0
20230125:1511,370.08,11.79,8.89,5.17,0
20230125:1611,201.2,5.98,8.49,4.97,0
20230125:1711,0,0,7.88,4.76,0
20230125:1811,0,0,7.23,4.41,0
20230125:1911,0,0,6.91,3.72,0
20230125:2011,0,0,6.75,3.66,0
20230125:2111,0,0,6.67,4,0
20230125:2211,0,0,6.74,4.21,0
20230125:2311,0,0,6.65,4.62,0
20230126:0011,0,0,6.61,4.55,0
20230126:0111,0,0,6.46,4.21,0
20230126:0211,0,0,6.37,4,0
20230126:0311,0,0,6.31,3.86,0
20230126:0411,0,0,6.38,3.93,0
20230126:0511,0,0,6.36,3.79,0
20230126:0611,0,0,6.49,3.93,0
20230126:0711,0,0,6.58,4,0
20230126:0811,0,0,6.63,3.93,0
20230126:0911,30.9,3.98,6.56,3.66,0
20230126:1011,121.68,10.3,6.82,3.79,0
20230126:1111,54.21,14.98,7.45,3.66,0
20230126:1211,90.36,17.64,7.74,3.93,0
20230126:1311,78.09,18.03,8.02,4,0
20230126:1411,79.53,16.1,8.08,4.21,0
20230126:1511,59.85,12.05,8.09,4,0
20230126:1611,69.4,6.23,7.94,3.86,0
20230126:1711,0,0,7.32,3.52,0
20230126:1811,0,0,7.01,3.86,0
20230126:1911,0,0,6.93,3.93,0
20230126:2011,0,0,6.77,3.79,0
20230126:2111,0,0,6.57,3.52,0
20230126:2211,0,0,6.42,3.1,0
20230126:2311,0,0,5.95,2.76,0
20230127:0011,0,0,5.68,2.55,0
